Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.140965315636987	1.72120723036605E-4	0.190777411080037	2.98470019101562E-6	1.29503703117371	0.14079319491395	0.247059946762823	0.569874626618905	4.9821102104135E-4	99.8853484481498
797	0.140832830247807		0.190785025597219		1.28251338005066	0.14066070952477	0.24468052012381	0.574874981684667	3.8624833141361E-4	99.9111025721861
794	0.146881647286015		0.199660074962085		1.27090787887573	0.146709526562978	0.253745769087245	0.578175262155939	4.96321612661082E-4	99.8857830026579
791	0.162902315251784		0.221566144248638		1.25971376895905	0.162730194528748	0.279106162777248	0.583040492225252	5.14798163842512E-4	99.8815335691488
788	0.153815990405584		0.209203996203857		1.24973464012146	0.153643869682548	0.261445750824579	0.587670173249965	3.86558259556853E-4	99.9110312720597
785	0.148940942932083		0.203281158970138		1.2398818731308	0.148768822209046	0.252040923480431	0.590256614500134	3.87244426902005E-4	99.9108734168813
782	0.154876549292643		0.211746755516817		1.22961759567261	0.154704428569606	0.260363866370191	0.594185478677921	4.24278218223139E-4	99.9023540346735
779	0.16257758972055		0.222658506075938		1.21990156173706	0.162405468997514	0.271617818255653	0.597919054208196	3.16513257955893E-4	99.927146679977
776	0.179324020241403		0.246113950127417		1.21068322658539	0.179151899518367	0.297962417721479	0.60125669837271	3.60858909077279E-4	99.9169436764032
773	0.201525679736735		0.277234481085219		1.20195853710175	0.201353559013699	0.333220763833476	0.60426474238059	2.52419449266325E-4	99.9418951612971
770	0.256206292463799		0.353710737722384		1.19353318214417	0.256034171740762	0.42216194001364	0.606483312381239	2.98771574553222E-4	99.9312289607488
767	0.372865873372772		0.515480582657038		1.18549811840057	0.372693752649736	0.61109772245549	0.609875865928925	3.5744746364453E-4	99.9177285414064
764	0.402208781351837		0.552595331654243		1.17875647544861	0.402036660628801	0.651371807255432	0.617215323338586	2.72387090273021E-4	99.9373002191741
761	0.322568382500143		0.443552714292104		1.17274963855743	0.322396261777106	0.520172785061163	0.619786868971236	1.94280175363818E-4	99.9552753408931
758	0.307737799368485		0.424952293223849		1.16522932052612	0.307565678645448	0.495163394029068	0.62113977397003	2.87025853787909E-4	99.9339316895024
755	0.33121398335671		0.457995641785662		1.15694808959961	0.331041862633673	0.529873729665685	0.624756133584012	2.09906045164598E-4	99.9516790252927
752	0.362343443376366		0.501234910106539		1.15032732486725	0.362171322653329	0.576580779890745	0.628136308535911	1.83989745403723E-4	99.9576437682826
749	0.393461531020579		0.544481879538225		1.14454281330109	0.393289410297542	0.62317940608099	0.631101423538424	2.84714769603771E-4	99.9344634861361
746	0.434596687106211		0.601718364600047		1.13894140720367	0.434424566383174	0.685318561519235	0.633901649212781	1.0562340069631E-4	99.9756822704478
743	0.503810715760309		0.697458246114462		1.13332235813141	0.503638595037273	0.790441641557179	0.637161010451194	2.43628911881345E-4	99.9439181017066
740	0.560689124346511		0.775733653211356		1.12817847728729	0.560517003623474	0.87516264438598	0.640471810833216	2.07558432062376E-4	99.9522193234435
737	0.648713315278963		0.897197649613217		1.12343156337738	0.648541194555927	1.00793680505709	0.643434381304486	1.65265218019552E-4	99.9619535167705
734	0.788418304344753		1.08731734795022		1.11918497085571	0.788246183621717	1.21690589394498	0.64774621237668	2.12648586668988E-4	99.9510478389109
731	0.890743335979339		1.22122823303525		1.11558294296265	0.890571215256303	1.36237805655792	0.653688754725215	1.96304399626145E-4	99.954809455577
728	0.927534729875297		1.26790964154013		1.11222970485687	0.92736260915226	1.41020344672315	0.657609092721443	3.17567896834929E-4	99.9269040176122
725	0.968136194556812		1.32218710104004		1.10832226276398	0.967964073833775	1.46540609161237	0.660543230558522	2.97121118911812E-4	99.9316087315745
722	1.02984223984247		1.40765667467313		1.10377848148346	1.02967011911944	1.55373785237292	0.662705177419015	3.54538173586469E-4	99.9183978813129
719	1.08718846611479		1.48866755691779		1.09882938861847	1.08701634539176	1.63578838174784	0.664521375454618	4.58545629396239E-4	99.8944716872574
716	1.05801622349454		1.45099790069624		1.09386909008026	1.05784410277151	1.58719848847168	0.666485074459785	4.6472250226616E-4	99.8930509207273
713	0.882896374035597		1.21396182223665		1.08838200569153	0.88272425331256	1.32125095442489	0.668097343927211	4.38353496083055E-4	99.8991162993019
