Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.138267396069215	1.85766687604576E-4	0.187004060074302	3.44042490538116E-6	1.29503703117371	0.13808162938161	0.242172727298398	0.570178281105412	7.41499293316299E-4	99.8294091499572
797	0.138563354968484		0.187561591047416		1.28251338005066	0.138377588280879	0.240545837710927	0.575264945748815	7.61864239764165E-4	99.8247280568499
794	0.143611269911082		0.195063412916854		1.27090787887573	0.143425503223477	0.247903255893301	0.578554334458634	7.32177925559061E-4	99.8315518357633
791	0.160218805359553		0.217821523635243		1.25971376895905	0.160033038671948	0.27438843854833	0.583235356120009	8.15804264564205E-4	99.8123304461024
788	0.151949900973649		0.206513140501718		1.24973464012146	0.151764134286044	0.258082325707087	0.588045438099045	7.26698111690159E-4	99.8328114920482
785	0.146190437839009		0.199387281765544		1.2398818731308	0.146004671151404	0.247212410673444	0.590604131700609	6.98808872360546E-4	99.8392226961724
782	0.151852432674172		0.20747529717512		1.22961759567261	0.151666665986568	0.255111045666931	0.594512344967539	7.50612603846502E-4	99.8273143343467
779	0.159651020175054		0.218550696605963		1.21990156173706	0.15946525348745	0.266606139128621	0.598130463194313	7.96304783584836E-4	99.8168120419187
776	0.175765821441229		0.241132836103131		1.21068322658539	0.175580054753625	0.291931314784299	0.601443030814821	7.55790805741027E-4	99.8261240753679
773	0.197393633702221		0.271438738844584		1.20195853710175	0.197207867014616	0.326253974206292	0.604461194670139	8.09884107846336E-4	99.8136910635884
770	0.250388502722642		0.345525032188686		1.19353318214417	0.250202736035037	0.412391484917342	0.606711693101972	8.37883487086929E-4	99.8072561872114
767	0.363940894694446		0.503106787540466		1.18549811840057	0.363755128006841	0.596428071366527	0.609889348724668	7.44061965405905E-4	99.8288200812575
764	0.39965594994114		0.549011803226179		1.17875647544861	0.399470183253535	0.64714716272744	0.617278736987649	8.23941512727355E-4	99.8104603093
761	0.320013985385106		0.439833779675616		1.17274963855743	0.319828218697501	0.515810871382865	0.620049394926587	7.67099302253319E-4	99.8235247591764
758	0.302751779796123		0.41795702134018		1.16522932052612	0.302566013108518	0.487011767101366	0.62127043646061	8.64872633958135E-4	99.8010538772354
755	0.325439294201318		0.449920137820128		1.15694808959961	0.325253527513713	0.520530263530368	0.624850369520806	8.09801018455126E-4	99.8137101599849
752	0.356471232248707		0.493100829481082		1.15032732486725	0.356285465561102	0.567223400452017	0.628121945034673	9.23275071726956E-4	99.7876338749282
749	0.387615689063957		0.53621263167698		1.14454281330109	0.387429922376353	0.61371437627355	0.631287024313838	8.17662985823471E-4	99.8119032638303
746	0.42789484905926		0.592421431348621		1.13894140720367	0.427709082371655	0.674729380235431	0.633897225910655	8.98389217767843E-4	99.7933520494323
743	0.495637672274901		0.686184898991539		1.13332235813141	0.495451905587296	0.777664788728786	0.637102145767959	9.77652060021794E-4	99.7751404826756
740	0.552232583547782		0.764041445311299		1.12817847728729	0.552046816860177	0.861971232942352	0.640446914888049	9.3168626050858E-4	99.7857012588492
737	0.637224207506268		0.881486748186737		1.12343156337738	0.637038440818663	0.990286170529939	0.643287223205147	0.00101734976936011	99.7660207179273
734	0.776301182200788		1.07084636473966		1.11918497085571	0.776115415513183	1.19847130704026	0.647587815372798	9.27922798153125E-4	99.7865659747807
731	0.878803626249216		1.20524663886083		1.11558294296265	0.878617859561612	1.34454875429686	0.653466716438326	9.6466325470064E-4	99.7781245851901
728	0.915487105106542		1.25150410632736		1.11222970485687	0.915301338418938	1.39195621626487	0.657564747887709	9.1630454439838E-4	99.7892355024875
725	0.955929744715449		1.30552423367498		1.10832226276398	0.955743978027845	1.44693775966035	0.66052874192197	9.00429595704216E-4	99.7928832070134
722	1.01387345725247		1.38601689204476		1.10377848148346	1.01368769056487	1.52985182294461	0.662605146042023	9.50010290515607E-4	99.7814911256636
719	1.07103906859632		1.46635431726085		1.09882938861847	1.07085330190871	1.6112694374938	0.664602255209616	8.84677465322758E-4	99.7965028224612
716	1.04722432442878		1.43632611364549		1.09386909008026	1.04703855774117	1.57114897561745	0.666415835792845	9.61368457780529E-4	99.7788815598198
713	0.876926175695195		1.20589726385823		1.08838200569153	0.87674040900759	1.31247313819939	0.668006364084838	9.36630031344646E-4	99.784565359471
710	0.660865851851498		0.914210084237622		1.08147060871124	0.660680085163893	0.988687615572001	0.668239466903467	9.92402746126813E-4	99.7717517065199
707	0.49796245391234		0.696575234033029		1.07262480258942	0.497776687224735	0.747160182608269	0.666224858887744	0.00108421503156799	99.750661628865
704	0.389433147247613		0.552553714527944		1.06215143203735	0.389247380560008	0.586892064911175	0.663235037295862	0.00109992266709822	99.7470538954781
701	0.316167161059656		0.454368357864609		1.05151391029358	0.315981394372052	0.477771031037243	0.661365746027036	0.00121602347091508	99.720391882009
698	0.285113208089259		0.413520965144527		1.04284107685089	0.284927441401655	0.431233060775325	0.660727266340332	0.00110257767020963	99.7464441066367
695	0.295694201699324		0.429513617515926		1.03854668140411	0.295508435011719	0.446066369047173	0.662476383599473	0.00103065035751487	99.7629653569003
692	0.333424728739722		0.483556808370537		1.03860867023468	0.333238962052117	0.502222720469513	0.663528248464311	0.0010674326313618	99.7545163586386
