Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.140965315636987	1.72120723036605E-4	0.190777411080037	2.98470019101562E-6	1.29503703117371	0.14079319491395	0.247059946762823	0.569874626618905	4.9821102104135E-4	99.8853484481498
782	0.154876549292643		0.211746755516817		1.22961759567261	0.154704428569606	0.260363866370191	0.594185478677921	4.24278218223139E-4	99.9023540346735
764	0.402208781351837		0.552595331654243		1.17875647544861	0.402036660628801	0.651371807255432	0.617215323338586	2.72387090273021E-4	99.9373002191741
746	0.434596687106211		0.601718364600047		1.13894140720367	0.434424566383174	0.685318561519235	0.633901649212781	1.0562340069631E-4	99.9756822704478
728	0.927534729875297		1.26790964154013		1.11222970485687	0.92736260915226	1.41020344672315	0.657609092721443	3.17567896834929E-4	99.9269040176122
710	0.665702896509904		0.920765535871584		1.08147060871124	0.665530775786868	0.995777636693843	0.668352804142647	3.96000888121669E-4	99.9088589844966
692	0.337644409356406		0.489267193174379		1.03860867023468	0.337472288633369	0.5081540489568	0.664114138864333	5.00064455562131E-4	99.884922169287
674	0.406191128442858		0.590901624225788		1.03543519973755	0.406019007719822	0.611837250841832	0.663606223977335	5.11325543557427E-4	99.882332225454
656	0.468688747822036		0.68603184998092		1.02696716785431	0.468516627099	0.704529120843656	0.665006758752517	5.31996563409469E-4	99.8775782609822
638	0.567349059317458		0.83447720613825		1.01450133323669	0.567176938594421	0.846575210200563	0.669966391361791	6.07247288814345E-4	99.8602738525093
620	0.718495569028447		1.06089107394692		1.0109326839447	0.718323448305411	1.07248644342717	0.669773919015689	6.0465780273231E-4	99.8608692723707
602	0.838234501350287		1.24212866172371		0.985136866569519	0.838062380627251	1.22366379734849	0.684879606999254	6.74656039088351E-4	99.8447753044952
584	1.0270248448342		1.52214908754572		0.985130906105042	1.02685272411116	1.49951316952048	0.684790734075071	7.47011753695634E-4	99.8281420323836
566	1.19947316262658		1.77701680655906		0.985598206520081	1.19930104190354	1.75142163578549	0.684758608320871	8.17234055038639E-4	99.8120018430685
548	1.42993522988196		2.11264269175361		0.98427277803421	1.42976310915893	2.07941375344685	0.687579904090249	8.81018080689339E-4	99.7973437157782
530	1.73017759471009		2.54200388388562		0.986043810844421	1.73000547398705	2.50652425380275	0.690200971070752	9.58921749501251E-4	99.7794436910774
512	2.19421384621282		3.19336413518917		0.991071581840515	2.19404172548979	3.16484948680315	0.693253102442483	0.00114127956001162	99.737555658714
494	3.14756094933703		4.51155827054692		0.998198688030243	3.14738882861399	4.50342856730811	0.69888725480447	0.0012824023886561	99.7051514722598
476	4.67515759850649		6.58537986870565		1.0048736333847	4.67498547778346	6.61747159663821	0.706460981284518	0.00145623641160683	99.6652507136148
458	5.87287209567379		8.07033719919784		1.01754152774811	5.87269997495075	8.21190020605776	0.715145073319154	0.00174936224385379	99.5980046308581
440	3.69074538320173		5.16441345592652		0.996118366718292	3.69057326247869	5.14436412366082	0.71740125188736	0.00219996215319526	99.4947208456149
422	4.11431787906781		5.66536202570217		1.00417006015778	4.11414575834477	5.68898392901836	0.723177602481762	0.00286978098824381	99.3413869336874
404	2.9698978885235		4.2414467359817		0.986246347427368	2.96972576780046	4.18310840752002	0.709932776894271	0.00355906829963181	99.1838430331969
386	3.25347061688259		4.56256668098763		1.02432680130005	3.25329849615955	4.67355627674584	0.696107696904592	0.00469326849936561	98.9251531985932
368	3.44608256679654		4.74392478573171		1.09125518798828	3.4459104460735	5.17682927678636	0.665641121588741	0.00614813175686863	98.5943136896248
350	3.94404331920132		5.35846388239723		1.00763487815857	3.94387119847828	5.39937209376841	0.730431452025696	0.00800387747724604	98.1739177796212
332	4.09188631177463		5.53678872299327		0.961043655872345	4.09171419105159	5.32109280771104	0.768961252681423	0.0103354872466606	97.6482608496929
314	3.34228206672302		4.67693560142907		0.921440601348877	3.34210994599999	4.30951560282684	0.775518701871672	0.0132487496817061	96.9954250026729
296	2.5120605368373		3.6833509008094		0.944396495819092	2.51188841611427	3.47854086485609	0.72210979077234	0.0175185094480712	96.0464882905257
278	1.18198289322625		1.95452216015886		1.02761805057526	1.18181077250321	2.0084991848968	0.588404905209825	0.0231586395498524	94.8072087262941
260	0.662318747353505		1.25211090503099		0.870132803916931	0.662146626630468	1.08950017552404	0.607752657141137	0.028121095606224	93.7300620200504
242	0.272649623544335		0.615635974712892		0.672455251216888	0.272477502821298	0.413985636956395	0.658181053875544	0.0310295399839304	93.1044545222048
